sample,island,stratum,date,time,date_time,category,taxon,genus,sp,stage,count,indiv_per_ml
DI_SAV_1,DI,SAV,6/7/2017,13:10:00,6/7/2017 13:10,CYCLOPOIDS,Eucyclops pectinifer,Eucyclops,pectinifer,not_spec,9,0.000993127
DI_SAV_1,DI,SAV,6/7/2017,13:10:00,6/7/2017 13:10,CYCLOPOIDS,Mesocyclops edax,Mesocyclops,edax,not_spec,4,0.00044139
DI_SAV_1,DI,SAV,6/7/2017,13:10:00,6/7/2017 13:10,CLADOCERA,Camptocercus,Camptocercus,NA,not_spec,12,0.001324169
DI_SAV_1,DI,SAV,6/7/2017,13:10:00,6/7/2017 13:10,CLADOCERA,Ceriodaphnia,Ceriodaphnia,NA,not_spec,4,0.00044139
DI_SAV_1,DI,SAV,6/7/2017,13:10:00,6/7/2017 13:10,CLADOCERA,Eurycercus,Eurycercus,NA,not_spec,2,0.000220695
DI_SAV_1,DI,SAV,6/7/2017,13:10:00,6/7/2017 13:10,CLADOCERA,Graptoleberis,Graptoleberis,NA,not_spec,23,0.002537991
DI_SAV_1,DI,SAV,6/7/2017,13:10:00,6/7/2017 13:10,CLADOCERA,Picripleuroxus,Picripleuroxus,NA,not_spec,2,0.000220695
DI_SAV_1,DI,SAV,6/7/2017,13:10:00,6/7/2017 13:10,CLADOCERA,Scaphloberis,Scaphloberis,NA,not_spec,1,0.000110347
DI_SAV_1,DI,SAV,6/7/2017,13:10:00,6/7/2017 13:10,CLADOCERA,Simocephalus,Simocephalus,NA,not_spec,3,0.000331042
DI_SAV_1,DI,SAV,5/25/2017,8:56:00,5/25/2017 8:56,CYCLOPOIDS,Eucyclops prionophorus,Eucyclops,prionophorus,not_spec,3,0.000204952
DI_SAV_1,DI,SAV,5/25/2017,8:56:00,5/25/2017 8:56,CLADOCERA,Alona,Alona,NA,not_spec,1,6.83E-05
DI_SAV_1,DI,SAV,5/25/2017,8:56:00,5/25/2017 8:56,CLADOCERA,Bosmina,Bosmina,NA,not_spec,19,0.001298027
DI_SAV_1,DI,SAV,5/25/2017,8:56:00,5/25/2017 8:56,CLADOCERA,Camptocercus,Camptocercus,NA,not_spec,1,6.83E-05
DI_SAV_1,DI,SAV,5/25/2017,8:56:00,5/25/2017 8:56,CLADOCERA,Ceriodaphnia,Ceriodaphnia,NA,not_spec,1,6.83E-05
DI_SAV_1,DI,SAV,5/25/2017,8:56:00,5/25/2017 8:56,CLADOCERA,Chydorus,Chydorus,NA,not_spec,5,0.000341586
DI_SAV_1,DI,SAV,5/25/2017,8:56:00,5/25/2017 8:56,CLADOCERA,Eurycercus,Eurycercus,NA,not_spec,4,0.000273269
DI_SAV_1,DI,SAV,5/25/2017,8:56:00,5/25/2017 8:56,CLADOCERA,Graptoleberis,Graptoleberis,NA,not_spec,18,0.00122971
DI_SAV_1,DI,SAV,5/25/2017,8:56:00,5/25/2017 8:56,CLADOCERA,Pleuroxus,Pleuroxus,NA,not_spec,2,0.000136634
DI_SAV_2,DI,SAV,6/7/2017,11:06:00,6/7/2017 11:06,CYCLOPOIDS,Eucyclops agilis,Eucyclops,agilis,not_spec,3,0.00015719
DI_SAV_2,DI,SAV,6/7/2017,11:06:00,6/7/2017 11:06,CLADOCERA,Alona,Alona,NA,not_spec,1,5.24E-05
DI_SAV_2,DI,SAV,6/7/2017,11:06:00,6/7/2017 11:06,CLADOCERA,Camptocercus,Camptocercus,NA,not_spec,1,5.24E-05
DI_SAV_2,DI,SAV,6/7/2017,11:06:00,6/7/2017 11:06,CLADOCERA,Daphnia,Daphnia,NA,not_spec,2,0.000104793
DI_SAV_2,DI,SAV,6/7/2017,11:06:00,6/7/2017 11:06,CLADOCERA,Eurycercus,Eurycercus,NA,not_spec,2,0.000104793
DI_SAV_2,DI,SAV,6/7/2017,11:06:00,6/7/2017 11:06,CLADOCERA,Graptoleberis,Graptoleberis,NA,not_spec,8,0.000419174
DI_SAV_2,DI,SAV,6/7/2017,11:06:00,6/7/2017 11:06,HARPACTICOIDS,HARPACTICOIDS,HARPACTICOIDS,NA,not_spec,2,0.000104793
DI_WAT_1,DI,WAT,6/7/2017,12:42:00,6/7/2017 12:42,CLADOCERA,Alona,Alona,NA,not_spec,1,5.51E-05
DI_WAT_1,DI,WAT,6/7/2017,12:42:00,6/7/2017 12:42,CLADOCERA,Bosmina,Bosmina,NA,not_spec,13,0.00071629
DI_WAT_1,DI,WAT,6/7/2017,12:42:00,6/7/2017 12:42,CLADOCERA,Ceriodaphnia,Ceriodaphnia,NA,not_spec,3,0.000165298
DI_WAT_1,DI,WAT,6/7/2017,12:42:00,6/7/2017 12:42,CLADOCERA,Daphnia,Daphnia,NA,not_spec,1,5.51E-05
DI_WAT_1,DI,WAT,6/7/2017,12:42:00,6/7/2017 12:42,CLADOCERA,Diaphanosoma,Diaphanosoma,NA,not_spec,1,5.51E-05
DI_WAT_1,DI,WAT,5/25/2017,8:15:00,5/25/2017 8:15,CALANOIDS,Aglaodiaptomus forbesi,Aglaodiaptomus,forbesi,not_spec,1,3.70E-05
DI_WAT_1,DI,WAT,5/25/2017,8:15:00,5/25/2017 8:15,CLADOCERA,Alona,Alona,NA,not_spec,1,3.70E-05
DI_WAT_1,DI,WAT,5/25/2017,8:15:00,5/25/2017 8:15,CLADOCERA,Bosmina,Bosmina,NA,not_spec,157,0.005805136
DI_WAT_1,DI,WAT,5/25/2017,8:15:00,5/25/2017 8:15,CLADOCERA,Ceriodaphnia,Ceriodaphnia,NA,not_spec,10,0.000369754
DI_WAT_1,DI,WAT,5/25/2017,8:15:00,5/25/2017 8:15,CLADOCERA,Chydorus,Chydorus,NA,not_spec,1,3.70E-05
DI_WAT_1,DI,WAT,5/25/2017,8:15:00,5/25/2017 8:15,CLADOCERA,Daphnia,Daphnia,NA,not_spec,1,3.70E-05
DI_WAT_2,DI,WAT,6/7/2017,11:55:00,6/7/2017 11:55,CYCLOPOIDS,Diacyclops thomasi,Diacyclops,thomasi,not_spec,1,4.79E-05
DI_WAT_2,DI,WAT,6/7/2017,11:55:00,6/7/2017 11:55,CLADOCERA,Alona,Alona,NA,not_spec,2,9.58E-05
DI_WAT_2,DI,WAT,6/7/2017,11:55:00,6/7/2017 11:55,CLADOCERA,Bosmina,Bosmina,NA,not_spec,54,0.002585656
DI_WAT_2,DI,WAT,6/7/2017,11:55:00,6/7/2017 11:55,CLADOCERA,Camptocercus,Camptocercus,NA,not_spec,1,4.79E-05
DI_WAT_2,DI,WAT,6/7/2017,11:55:00,6/7/2017 11:55,CLADOCERA,Chydorus,Chydorus,NA,not_spec,1,4.79E-05
DI_WAT_2,DI,WAT,6/7/2017,11:55:00,6/7/2017 11:55,CLADOCERA,Diaphanosoma,Diaphanosoma,NA,not_spec,1,4.79E-05
DI_WAT_2,DI,WAT,6/7/2017,11:55:00,6/7/2017 11:55,CLADOCERA,Eurycercus,Eurycercus,NA,not_spec,1,4.79E-05
DI_WAT_2,DI,WAT,6/7/2017,11:55:00,6/7/2017 11:55,CLADOCERA,Graptoleberis,Graptoleberis,NA,not_spec,1,4.79E-05
DI_WAT_2,DI,WAT,6/7/2017,11:55:00,6/7/2017 11:55,HARPACTICOIDS,HARPACTICOIDS,HARPACTICOIDS,NA,not_spec,4,0.00019153
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CYCLOPOIDS,Eucyclops,Eucyclops,NA,not_spec,1,2.83E-05
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CYCLOPOIDS,Mesocyclops edax,Mesocyclops,edax,not_spec,1,2.83E-05
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CYCLOPOIDS,Microcyclops rubellus,Microcyclops,rubellus,not_spec,1,2.83E-05
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CLADOCERA,Alona,Alona,NA,not_spec,2,5.66E-05
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CLADOCERA,Bosmina,Bosmina,NA,not_spec,76,0.00215036
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CLADOCERA,Ceriodaphnia,Ceriodaphnia,NA,not_spec,11,0.000311236
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CLADOCERA,Chydorus,Chydorus,NA,not_spec,2,5.66E-05
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CLADOCERA,Daphnia,Daphnia,NA,not_spec,5,0.000141471
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CLADOCERA,Picripleuroxus,Picripleuroxus,NA,not_spec,1,2.83E-05
FI_SAV_1,FI,SAV,5/23/2017,14:30:00,5/23/2017 14:30,CLADOCERA,Scaphloberis,Scaphloberis,NA,not_spec,2,5.66E-05
FI_SAV_1,FI,SAV,6/5/2017,13:55:00,6/5/2017 13:55,CYCLOPOIDS,Eucyclops pectinifer,Eucyclops,pectinifer,not_spec,1,3.87E-05
FI_SAV_1,FI,SAV,6/5/2017,13:55:00,6/5/2017 13:55,CLADOCERA,Bosmina,Bosmina,NA,not_spec,26,0.001006678
FI_SAV_1,FI,SAV,6/5/2017,13:55:00,6/5/2017 13:55,CLADOCERA,Ceriodaphnia,Ceriodaphnia,NA,not_spec,9,0.000348466
FI_SAV_1,FI,SAV,6/5/2017,13:55:00,6/5/2017 13:55,CLADOCERA,Daphnia,Daphnia,NA,not_spec,10,0.000387184
FI_SAV_1,FI,SAV,6/5/2017,13:55:00,6/5/2017 13:55,CLADOCERA,Eurycercus,Eurycercus,NA,not_spec,1,3.87E-05
FI_SAV_1,FI,SAV,6/5/2017,13:55:00,6/5/2017 13:55,CLADOCERA,Graptoleberis,Graptoleberis,NA,not_spec,4,0.000154874
FI_SAV_1,FI,SAV,6/5/2017,13:55:00,6/5/2017 13:55,CLADOCERA,Picripleuroxus,Picripleuroxus,NA,not_spec,2,7.74E-05
FI_SAV_1,FI,SAV,6/5/2017,13:55:00,6/5/2017 13:55,CLADOCERA,Simocephalus,Simocephalus,NA,not_spec,2,7.74E-05
FI_SAV_2,FI,SAV,6/5/2017,14:56:00,6/5/2017 14:56,CLADOCERA,Alona,Alona,NA,not_spec,2,4.95E-05
FI_SAV_2,FI,SAV,6/5/2017,14:56:00,6/5/2017 14:56,CLADOCERA,Bosmina,Bosmina,NA,not_spec,23,0.000568688
FI_SAV_2,FI,SAV,6/5/2017,14:56:00,6/5/2017 14:56,CLADOCERA,Ceriodaphnia,Ceriodaphnia,NA,not_spec,3,7.42E-05
FI_SAV_2,FI,SAV,6/5/2017,14:56:00,6/5/2017 14:56,CLADOCERA,Daphnia,Daphnia,NA,not_spec,5,0.000123628
FI_SAV_2,FI,SAV,6/5/2017,14:56:00,6/5/2017 14:56,CLADOCERA,Eurycercus,Eurycercus,NA,not_spec,1,2.47E-05
FI_SAV_2,FI,SAV,6/5/2017,14:56:00,6/5/2017 14:56,CLADOCERA,Graptoleberis,Graptoleberis,NA,not_spec,19,0.000469786
FI_SAV_2,FI,SAV,6/5/2017,14:56:00,6/5/2017 14:56,CLADOCERA,Picripleuroxus,Picripleuroxus,NA,not_spec,1,2.47E-05
FI_WAT_1,FI,WAT,6/5/2017,14:35:00,6/5/2017 14:35,CYCLOPOIDS,Diacyclops thomasi,Diacyclops,thomasi,not_spec,2,3.35E-05
FI_WAT_1,FI,WAT,6/5/2017,14:35:00,6/5/2017 14:35,CYCLOPOIDS,Limnoithona tetraspina,Limnoithona,tetraspina,not_spec,5,8.38E-05
FI_WAT_1,FI,WAT,6/5/2017,14:35:00,6/5/2017 14:35,CLADOCERA,Alonella,Alonella,NA,not_spec,3,5.03E-05
FI_WAT_1,FI,WAT,6/5/2017,14:35:00,6/5/2017 14:35,CLADOCERA,Bosmina,Bosmina,NA,not_spec,50,0.000837658
