"smelt_ID","smelt_date","smelt_survey","smelt_station","smelt_sal","smelt_secchi","smelt_temp","smelt_lat","smelt_long","zoop_ID","zoop_station","zoop_date","zoop_lat","zoop_long","zoop_sal_avg"
"2017_EDSM_0172",2017-09-20,"EDSM","18-08-SM01",3.995391749,0.32,20.7,38.16665,-122.04294,"EMP NZS42 2017-09-18","NZS42",2017-09-18,38.1805555555556,-122.047222222222,4.70620919993375
"2017_EDSM_0170",2017-09-12,"EDSM","18-07-HB01",2.389568106,0.64,22.8,38.05575,-121.95713,"EMP NZEZ6 2017-09-14","NZEZ6",2017-09-14,38.0552,-121.9473,2.61515193320338
"2018_EDSM_0189",2018-09-06,"EDSM","19-06-SM04",5.336772856,0.21,19.7,38.18563,-122.05531,"EMP NZS42 2018-09-19","NZS42",2018-09-19,38.1805555555556,-122.047222222222,6.29015122194059
"2017_EDSM_0060",2017-10-10,"EDSM","18-11-LSR02",0.422751914,0.48,17.5,38.06625,-121.82619,"EMP NZEZ2 2017-10-12","NZEZ2",2017-10-12,38.0625,-121.8178,0.800021571782606
"2017_EDSM_0005",2017-08-28,"EDSM","18-05-LSR02",0.444050489,0.53,21.9,38.06747,-121.8454,"EMP NZEZ2 2017-08-16","NZEZ2",2017-08-16,38.0648,-121.8347,0.976639850724096
"2017_EDSM_0006",2017-08-28,"EDSM","18-05-LSR02",0.444050489,0.53,21.9,38.06747,-121.8454,"EMP NZEZ2 2017-08-16","NZEZ2",2017-08-16,38.0648,-121.8347,0.976639850724096
"2017_EDSM_0164",2017-08-23,"EDSM","18-04-LSJ03",0.728261471,0.26,21.1,38.05,-121.84295,"EMP NZEZ2 2017-08-16","NZEZ2",2017-08-16,38.0648,-121.8347,0.976639850724096
"2017_EDSM_0060",2017-10-10,"EDSM","18-11-LSR02",0.422751914,0.48,17.5,38.06625,-121.82619,"EMP NZ060 2017-10-09","NZ060",2017-10-09,38.0644444444444,-121.828888888889,0.930076749376318
"2017_EDSM_0061",2017-10-23,"EDSM","18-13-LSR01",0.426804146,0.42,16.2,38.06918,-121.84377,"EMP NZ060 2017-10-09","NZ060",2017-10-09,38.0644444444444,-121.828888888889,0.930076749376318
"2016_FMWT_7322",2016-11-07,"FMWT","703",2.568282102,0.660000026,16.89999962,38.06087,-121.79692,"EMP NZEZ6 2016-11-07","NZEZ6",2016-11-07,38.0674,-121.7842,3.32225685358807
"2016_FMWT_7323",2016-11-07,"FMWT","703",2.568282102,0.660000026,16.89999962,38.06087,-121.79692,"EMP NZEZ6 2016-11-07","NZEZ6",2016-11-07,38.0674,-121.7842,3.32225685358807
"2017_EDSM_0005",2017-08-28,"EDSM","18-05-LSR02",0.444050489,0.53,21.9,38.06747,-121.8454,"EMP NZ060 2017-09-11","NZ060",2017-09-11,38.0644444444444,-121.828888888889,0.704236754569692
"2017_EDSM_0006",2017-08-28,"EDSM","18-05-LSR02",0.444050489,0.53,21.9,38.06747,-121.8454,"EMP NZ060 2017-09-11","NZ060",2017-09-11,38.0644444444444,-121.828888888889,0.704236754569692
"2017_EDSM_0007",2017-09-08,"EDSM","18-06-LSR01",1.004573584,0.57,22.3,38.0536,-121.87649,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0008",2017-09-18,"EDSM","18-08-LSR01",0.079168905,0.58,20.9,38.06795,-121.85263,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0009",2017-09-18,"EDSM","18-08-LSR01",0.079168905,0.58,20.9,38.06795,-121.85263,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0011",2017-09-18,"EDSM","18-08-LSR01",0.079168905,0.58,20.9,38.06795,-121.85263,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0013",2017-09-18,"EDSM","18-08-LSR01",0.090016692,0.56,20.9,38.06774,-121.85245,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0015",2017-09-18,"EDSM","18-08-LSR01",0.090016692,0.56,20.9,38.06774,-121.85245,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0016",2017-09-18,"EDSM","18-08-LSR01",0.090016692,0.56,20.9,38.06774,-121.85245,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0017",2017-09-18,"EDSM","18-08-LSR01",0.090016692,0.56,20.9,38.06774,-121.85245,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0018",2017-09-18,"EDSM","18-08-LSR01",0.090016692,0.56,20.9,38.06774,-121.85245,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0019",2017-09-18,"EDSM","18-08-LSR01",0.090016692,0.56,20.9,38.06774,-121.85245,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0022",2017-09-18,"EDSM","18-08-LSR02",0.211635344,0.54,21.4,38.05451,-121.86867,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
"2017_EDSM_0024",2017-09-18,"EDSM","18-08-LSR01",0.090016692,0.56,20.9,38.06774,-121.85245,"EMP NZEZ2 2017-09-14","NZEZ2",2017-09-14,38.0628,-121.8578,0.959498858080022
